psnr_mean,psnr_median,psnr_gaussian,psnr_unsharp,psnr_wiener,psnr_chmean,psnr_amsharp,psnr_laplacian,psnr_log,psnr_admed,psnr_midpoint,psnr_gabor
33.4458332947092,32.317791478409745,33.484327236335076,36.32850342629724,28.61332559295073,29.892302708767748,28.827938007660514,28.39939253854661,28.786063370334112,32.59996766501112,8.972768564788886,
33.814851291889816,32.683245569356245,33.94083188633325,37.66107757311858,27.898016669861754,31.148442903243417,28.328303986431145,27.893161484777966,27.882379942302485,33.91696981960712,10.0965200427774,
32.95545144492292,31.893008814433227,33.031597692015424,36.37125635514286,28.385798745844433,,28.317906816348053,28.00437995155199,28.331537421343718,32.42254662367316,10.83043585904154,
32.98293176924732,32.03638248385721,33.14829838185315,36.85544407665339,28.145920011005153,30.191004526971426,28.260477544810698,27.830177732472126,28.008828688857335,32.572115802846966,12.269038464007252,
30.347838972245555,29.867629067650412,30.439383953160494,33.74994975062559,27.82631778651508,,27.961674677592608,27.898842484598102,27.833669162622428,25.94259740103958,9.187202382741594,
34.19952351446583,32.59210501656457,34.27725542418228,37.21285679378219,28.31300940468887,31.932056723024846,28.376193579852377,28.080153220905217,28.247291979963087,34.737322311972044,9.929700779336661,
31.11880778774136,30.511103101275417,31.18321456119324,34.41258261799043,28.160976882088207,,28.13900473249602,27.939801779846523,28.070705347708262,28.970967284618794,8.990544959247686,
34.30803804623586,33.22837257896808,34.408893687145834,37.935519876414304,28.02946455626551,31.08953224774622,28.811364135716275,28.139217196369298,28.114682049498803,33.370567870953096,8.857268865301736,
32.30475256158385,31.41544688356987,32.36838957471711,35.85519001428614,28.603641808304832,,28.260195571679372,27.95948076758018,28.210992153614324,31.04231924411339,11.278528888676291,
32.332904862679484,31.609844011334086,32.54613046290936,36.81371051508145,28.020240108997907,29.873525867562503,28.128145526060475,27.962720089891686,27.88422342677579,32.19250998896817,12.279295171894343,
29.75568901882802,29.45833720843781,29.84798218973689,32.96355658217392,27.921084755078226,,28.040876956654614,27.946647306174555,27.97403619456166,25.238611701166583,8.596582552033512,
35.10981121721732,33.532487930029994,35.20867208102199,37.71294863620102,28.020121242378796,32.34847046589393,28.62911323771508,27.714844609900243,27.94465587533176,35.615255311172824,13.751476220212563,
34.07601245083949,32.715309131888816,34.14425422435524,36.811977028820515,27.874459260864818,31.29103600016847,28.407490652513747,28.053854963994482,28.12767290795618,34.67944961597721,7.829541118176478,
32.164129205225365,31.40730992067743,32.1803654490982,35.44363576689832,28.377530511070592,,28.384596030226845,27.9355175534244,28.23376585305555,30.70950948187327,9.493429068268917,
34.84310314296706,33.669240530032724,34.938712089280145,38.39904383329783,28.809129050307813,,29.129499168036602,28.381404066830616,28.82474676546532,34.90506203587239,9.343024015086998,
34.20176210555908,33.02229902261074,34.275949501546485,37.40496815801603,28.122377408054735,,28.908125969231225,27.969423717784583,28.115615048192545,33.42898848994225,8.570432468069795,
33.90722552988997,32.876516324724534,34.08602324187126,37.57814217483635,28.108791553731276,,28.78722456650607,27.916257549734283,28.204168910446406,33.59655258335818,7.600700332626995,
32.26841807485455,31.337073861279777,32.41894728245264,36.352880226378474,27.947574115472264,29.573528070053463,28.030218191399797,27.902001041249832,27.987645964440453,32.016198391047254,9.428669390436417,
30.507999772315245,30.101574275836175,30.592576031354174,33.97845163021924,27.95517454815971,24.45805853310455,28.06678981055387,28.037949203816922,28.18586140005463,26.714890791325075,7.673434895461751,
33.733460674074465,32.69214954769035,33.835835549748644,37.15703894456026,28.205746287921247,,28.4898886299913,27.912459008150606,28.162991040747045,33.1072197340517,8.739032344378815,
33.26405720898645,31.933031598862556,33.33644430045143,35.75818742282679,27.96114250640917,30.075348579882725,28.291900771945674,27.860941661756648,27.978934485764697,33.579554051139,8.96064516621541,
35.53029679116847,33.89799228743017,35.6939337008898,38.965035325389856,27.636448716289365,33.74169764160952,28.6119612135998,27.708256010106425,27.63276674947499,36.276544522355,32.012047601989885,
32.98191579747348,32.17653170974064,33.137882561767555,37.42740304182717,27.92530061419702,30.69673410270253,28.382392189370304,28.0433955463287,27.906305175935575,32.824610503217194,11.055625686224795,
35.73895710663879,33.64835080639571,35.55491592801899,37.294304963138664,28.232304213046696,,28.994315096275276,27.996125676352563,28.287224246758402,36.75284004906119,11.05052874752758,
31.112952868428202,30.349197226078886,31.170194389148822,34.37056305165259,27.84727417491208,,28.061918230784627,27.863577966758278,27.824788972839926,27.972747785576093,9.86904266363708,
31.58640579903818,30.81405017300424,31.712566630812105,35.251091452575274,28.18212076034851,,27.9828016773223,27.877204217165747,28.157689445382363,30.87780794110424,11.389327001490505,
30.294585268332686,29.87868526423821,30.389458764988678,33.665088823790285,27.864653214627772,24.702102487186544,27.94804617182626,27.95682572657471,27.844589632601526,26.998904160842535,8.925648666347609,
31.345317246269314,30.678789235512582,31.41002900819892,34.62108749958485,27.851512786121596,,28.18743303612409,27.913587190652432,27.850076333508945,29.428874751162873,8.00840873467314,
32.45546009164873,31.569376605838272,32.54864662624374,35.911147300898236,28.253386214312176,28.93527861391592,28.27122550529664,27.988207044356027,28.3494880563064,31.498450853104558,8.795790569288075,
33.19089386367158,32.27677182257414,33.35773300755005,37.35398068680264,28.21126487439804,30.784528902290113,28.173615248208826,28.02948721520881,28.316763101034116,33.25248817843401,10.700242600747359,
33.38372656908354,32.231218557476375,33.47375562890547,36.902033056277126,28.470832240711754,,28.465141468071135,28.12327479507512,28.563090017069204,33.244882933336484,10.905520678120716,
33.9065030840365,32.26407442614894,33.94971222030978,36.56535633592196,28.219704050769256,,28.343284006219037,28.046386116996164,28.260826907375623,34.711293430923284,10.331593469275205,
32.17481340377935,31.264164489698626,32.30895384725845,35.4306212564725,28.302560496552147,28.76294429691633,28.100104995939404,27.850017941073787,28.234758049317694,31.806971284171297,11.729861809385017,
36.84617741068856,34.90903248340623,36.881527243046776,39.460914776665334,28.79155455693138,,29.36976083831076,28.601142814136086,28.894186746650554,38.00093125995642,9.692340214812532,
31.49357480838875,30.893707229411994,31.564087213801923,34.60745305703568,28.189069493405754,,28.301370041827603,27.95707403051688,28.23004137164107,29.002711460915126,9.543197461350418,
32.036038282117424,31.26517629036968,32.20214566879754,36.0527936787106,28.530561098092594,,28.102249990154032,27.817578378650936,28.261998785876074,31.335664906268946,10.78488850028445,
29.55486153716054,29.308667022041117,29.6377764580728,32.830327214171476,27.96672558247362,,27.96089864296087,27.981087029372326,28.1756948691364,25.271733453083776,7.593818668377916,
32.63722578320768,31.711344299022713,32.730113639864726,35.73602268392204,27.63478232139527,,28.370912297508273,27.906595920129057,27.690166277943483,31.66830709077379,6.674819525669267,
34.70239187971559,32.91027039468653,34.71078083322216,37.310128121772024,27.899216288580632,31.874507694397064,28.341379720984005,27.692581082049585,27.850601900758175,34.91977064761962,14.244893114933301,
31.7630200241529,30.931221382156817,31.93306871013288,35.73022332649609,27.91104929702824,,28.04240542373023,27.854187518741895,27.91181878464218,31.156543608845823,10.361345035593402,
