mse_gaussian_otsu,mse_gaussian_kmeans
12839.161076863607,10010.561874389648
10572.357223510742,2224.858154296875
8444.924372355143,2483.281824747721
11919.861892700195,2886.7146504720054
10310.461552937826,2084.7476196289062
10219.263010660807,10057.205088297525
8737.03033955892,8277.099278767904
9996.14496866862,3279.459915161133
9635.41850789388,9324.868128458658
18269.201141357422,947.9918568929037
12218.544342041016,12782.499160766602
9039.180302937826,10142.05950419108
8787.116755167643,4247.4461669921875
10837.284322102865,1126.1150563557942
17497.75392150879,1025.6354268391926
11240.648829142252,1364.894775390625
13143.368153889975,11692.608291625977
8974.573827107748,2966.6325887044272
10773.911992390951,1250.6884663899739
13207.761418660482,12602.462615966797
10856.463033040365,7280.614491780599
8955.521057128906,1307.6470031738281
13631.900395711264,1540.5511220296223
9368.111602783203,8762.594548543295
5371.462488810222,3765.1827697753906
10382.070485432943,2760.7819468180337
9394.911849975586,5231.2983805338545
15208.770060221354,3232.9783884684243
17202.185017903645,8370.631993611654
11276.409291585287,4400.853647867839
11336.283747355143,11991.91493733724
11801.357874552408,2399.0132344563804
16354.452473958334,1448.5151062011719
10682.327575683594,1283.0681610107422
10927.590774536133,9175.548166910807
9723.801834106445,1081.1051788330078
16485.96864827474,16246.857813517252
10482.456242879232,11019.222747802734
10965.138397216797,8932.789291381836
